NAME,AGENT
"THE APURVAA SILKS,CHITTOOR",RAVVA SUDEEPTI
TULASIRAM SILKS & READYMADES,RAVVA SUDEEPTI
"UMMADI VENKATAREDDY,DHARMAVARAM",RAVVA SUDEEPTI
VALLAM KONDU ANATHA PADMANA BHALAH,RAVVA SUDEEPTI
VALLAMKONDU PADMAVATHI,RAVVA SUDEEPTI
"VARUN TEX,KANIGIRI",RAVVA SUDEEPTI
"VASUDHA TEXTILES,PRODDATUR",RAVVA SUDEEPTI
"VIJAYA LAKSHMI HAND LOOMS,PRODDATUR,",RAVVA SUDEEPTI
"AGARWAL CUT PIECE CENTRE,VISAKHAPATNAM",NEW RISHI
"AMARAVATHI CHENETHA VASTRALAYAM,VIJAYAWA",NEW RISHI
"ASHAS  TEXTORIUM,KOTHAROAD",NEW RISHI
"BABU TEXTILES,A,P",NEW RISHI
"BANGARAMMA FURNISHING HOUSE,VIZIANAGARAM",NEW RISHI
"BASKARA CHENETHA VASTRALAYAM,VIJAYAWADA",NEW RISHI
"BHANU CLOTH STORES,KAKINADA",NEW RISHI
"BS HANDLOOMS,SECUNDERABAD",NEW RISHI
DHANALAXMI WHOLESALE CUTPIECE CLOTH MERC,NEW RISHI
"GOKUL TRADER,PUNE",NEW RISHI
"GUPTA CHENETA VASTRALAYAM,VIJAYAWADA",NEW RISHI
"HANUMAAN MILLS,VIZIANGARAM",NEW RISHI
HANUMAN DRESSES KANIGIRI,NEW RISHI
"HANUMAN TEXTILES,VIZIANAGARAM[A,P]",NEW RISHI
"HARIYANA HANDLOOM HOUSE,Parbhani, Mahara",NEW RISHI
"INDARLAL & COMPANY,[VIJAYAWADA]",NEW RISHI
"INDU HANDLOOMS,VISAKHAPATNAM",NEW RISHI
"JAI RAM TEXTILE,VIZIANAGARAM",NEW RISHI
"JAY SHREE DISTRIBUTORS,Ramgopalpet",NEW RISHI
"JYOTHIRMAI COTTON COMPANY,GUNTUR",NEW RISHI
"K V S CLOTH SHOP,VISAKHKAPATNAM",NEW RISHI
"LAKSHMI MANIKANTA TEXTILES,NELLORE",NEW RISHI
"LAXMI GANAPATHI BANGARU FIRM,VIZIANAGARA",NEW RISHI
"M L MURALI KRISHNA,VIZIANAGARAM",NEW RISHI
"M/S MAHALAKSHMI VASTRALAYAM,KAVALI",NEW RISHI
"MADHU KALANKARI AND HANDLOOMS,MACHILIPAT",NEW RISHI
"MAHADEV HANDLOOM,PUNE",NEW RISHI
"MANJUNATH TEXTILES,KARIMNAGAR",NEW RISHI
"NATARAJ TEXTILES,Secunderabad,",NEW RISHI
"NATHANI TEXTILES,AKASHWANI,AURANGABAD",NEW RISHI
"NAVANEETH TEXTILES,WARANGAL",NEW RISHI
"PUTRAYYA CLOTH SHOP,visakhapatnam",NEW RISHI
"RAJESHWAR HANDLOOM,PUNE",NEW RISHI
"RUDRA SRINIVASULU CLOTH MERCHANT, NALGON",NEW RISHI
"SAI KALYAN HANDLOOMS,ONGOLE",NEW RISHI
"SAI KRISHNA TEXTILES,NALGONDA",NEW RISHI
"SAI SRI TEXTILES,NALGONDA",NEW RISHI
"SANJAY SINGH C/O EEVA H/L ,visakhapatnam",NEW RISHI
"SEKHAR HANDLOOMS,GUNTUR",NEW RISHI
"SHANTI HANDLOOM,VSKP",NEW RISHI
"SIVA DURGA TEXTILES,RAJAHMUNDRY",NEW RISHI
"SOMISETTY SUBBARAYUDU,KAVALI",NEW RISHI
"SREE LAKSHMI UMA TEXTILES,VIJAYAWADA",NEW RISHI
